Appliances,T1,T2,T3,T4,T5,T6,T9,T_out,Tdewpoint,month,Total_Temperature,PredictedEnergy,Cluster
60,19.89,19.2,19.79,19.0,17.1666666666667,7.02666666666667,17.0333333333333,6.6,5.3,1,17.167407407407406,69.4,0
60,19.89,19.2,19.79,19.0,17.1666666666667,6.8333333333333295,17.0666666666667,6.48333333333333,5.2,1,17.149629629629636,64.9,0
50,19.89,19.2,19.79,18.9266666666667,17.1666666666667,6.56,17.0,6.36666666666667,5.1,1,17.10370370370371,65.4,0
50,19.89,19.2,19.79,18.89,17.1666666666667,6.43333333333333,17.0,6.25,5.0,1,17.067037037037036,68.5,0
60,19.89,19.2,19.79,18.89,17.2,6.36666666666667,17.0,6.133333333333329,4.9,1,17.070740740740742,57.4,0
50,19.89,19.2,19.79,18.89,17.1333333333333,6.3,17.0,6.01666666666667,4.8,1,17.048518518518513,54.6,0
60,19.89,19.2,19.79,18.89,17.1,6.263333333333329,17.0,5.9,4.7,1,17.040740740740738,60.4,0
60,19.8566666666667,19.2,19.73,18.89,17.1,6.19,17.0,5.91666666666667,4.68333333333333,1,17.01851851851852,61.9,0
60,19.79,19.2,19.73,18.89,17.1666666666667,6.1233333333333295,17.0,5.93333333333333,4.66666666666667,1,17.018518518518526,57.7,0
70,19.8566666666667,19.23,19.79,18.89,17.1,6.19,17.0,5.95,4.65,1,17.039629629629633,74.8,0
230,19.9266666666667,19.3566666666667,19.79,18.89,17.1,6.19,17.0,5.96666666666667,4.633333333333329,1,17.066759259259264,298.0,1
580,20.06666666666669,19.4266666666667,19.79,19.0,17.1,6.1233333333333295,16.89,5.98333333333333,4.61666666666667,1,17.110370370370376,445.6,3
430,20.1333333333333,19.56666666666669,19.89,19.0,17.1,6.1233333333333295,16.9633333333333,6.0,4.6,1,17.18518518518518,367.8,2
250,20.26,19.73,19.89,19.0,17.1,6.0675,16.89,6.0,4.51666666666667,1,17.214907407407395,258.0,1
100,20.4266666666667,19.8566666666667,20.033333333333296,19.0,17.1,5.9,16.89,6.0,4.43333333333333,1,17.25222222222222,148.9,4
100,20.56666666666669,20.033333333333296,20.1,19.0,17.15,5.8,16.89,6.0,4.35,1,17.286666666666665,108.6,4
90,20.73,20.1666666666667,20.2,18.9266666666667,17.1666666666667,5.72666666666667,16.89,6.0,4.26666666666667,1,17.310740740740755,96.1,4
70,20.8566666666667,20.2,20.2,18.89,17.2,5.52666666666667,16.89,6.0,4.18333333333333,1,17.313333333333347,108.9,0
80,20.89,20.2,20.2,18.963333333333296,17.2,5.3333333333333295,16.89,6.0,4.1,1,17.319629629629624,103.7,0
140,20.89,20.2,20.1666666666667,19.033333333333296,17.5933333333333,5.3333333333333295,16.89,6.0,4.06666666666667,1,17.374814814814815,140.8,4
120,20.89,20.2,20.1666666666667,19.175,18.06666666666669,5.46666666666667,16.89,6.0,4.03333333333333,1,17.465000000000007,123.9,4
190,20.963333333333296,20.26,20.2,19.26,17.6666666666667,5.5,16.89,6.0,4.0,1,17.45888888888889,168.2,1
110,21.033333333333296,20.29,20.26,19.32333333333329,17.6,5.56,16.89,6.0,3.966666666666669,1,17.497777777777767,132.6,4
110,21.1,20.3566666666667,20.29,19.39,17.5666666666667,5.6233333333333295,16.89,6.0,3.9333333333333296,1,17.548888888888897,125.2,4
110,21.1333333333333,20.4266666666667,20.29,19.39,17.76,5.763333333333329,16.89,6.0,3.9,1,17.61222222222223,107.6,4
110,21.2,20.5,20.39,19.39,18.3566666666667,5.65666666666667,16.89,5.93333333333333,3.86666666666667,1,17.693333333333342,102.0,4
100,21.29,20.533333333333296,20.39,19.39,18.3566666666667,5.53,16.89,5.86666666666667,3.8333333333333295,1,17.711481481481478,98.0,4
100,21.3566666666667,20.6666666666667,20.39,19.39,18.6,5.43333333333333,16.89,5.8,3.8,1,17.757407407407413,107.4,4
100,21.39,20.7,20.39,19.4266666666667,18.6666666666667,5.5,16.89,5.73333333333333,3.766666666666671,1,17.78703703703705,114.4,4
100,21.5,20.7,20.39,19.56666666666669,18.82333333333329,5.59,16.89,5.66666666666667,3.7333333333333294,1,17.846111111111114,108.8,4
110,21.5,20.79,20.39,19.6666666666667,18.963333333333296,5.59,16.8233333333333,5.6,3.7,1,17.867037037037033,127.0,4
400,21.533333333333296,20.79,20.4266666666667,19.6,19.033333333333296,5.65666666666667,16.8233333333333,5.65,3.716666666666669,1,17.889999999999997,152.0,2
400,21.6,20.89,20.5,19.6966666666667,19.1,5.8333333333333295,16.89,5.7,3.7333333333333294,1,17.965555555555554,320.9,2
390,21.6,20.963333333333296,20.5,20.0966666666667,19.158333333333296,5.9,16.89,5.75,3.75,1,18.032037037037032,292.9,2
240,21.6,21.0,20.5,20.5966666666667,19.2,6.0,16.8233333333333,5.8,3.766666666666671,1,18.094444444444445,127.1,1
60,21.6,21.0,20.5,20.996666666666705,19.2225,6.0,16.89,5.85,3.7833333333333297,1,18.133240740740742,96.0,0
60,21.6,21.0,20.4175,21.1666666666667,19.29,5.96666666666667,16.89,5.9,3.8,1,18.154166666666672,70.8,0
60,21.6,21.0,20.39,21.033333333333296,19.29,5.9,16.89,5.8,3.85,1,18.13259259259259,69.5,0
50,21.6,21.0,20.29,20.963333333333296,19.29,5.763333333333329,16.89,5.7,3.9,1,18.09851851851851,70.0,0
70,21.5,20.9266666666667,20.29,20.865,19.29,5.6233333333333295,16.89,5.6,3.95,1,18.05277777777778,64.6,0
60,21.5,20.89,20.29,20.73,19.29,5.59,16.89,5.5,4.0,1,18.03,63.9,0
40,21.39,20.79,20.23,20.7,19.2,5.59,16.89,5.4,4.05,1,17.986666666666665,50.2,0
40,21.39,20.79,20.2,20.6333333333333,19.2,5.59,16.89,5.3,4.1,1,17.97592592592592,47.5,0
30,21.29,20.7,20.2,20.56666666666669,19.2,5.53,16.89,5.26666666666667,4.06666666666667,1,17.948888888888884,40.4,0
40,21.29,20.6333333333333,20.1666666666667,20.5,19.2,5.53,16.89,5.23333333333333,4.03333333333333,1,17.928888888888892,44.9,0
50,21.26,20.6,20.1,20.5,19.1666666666667,5.53,16.89,5.2,4.0,1,17.914074074074076,86.4,0
310,21.2,20.6,20.1,20.4266666666667,19.1,5.4,16.89,5.16666666666667,3.966666666666669,1,17.87740740740741,128.3,1
380,21.1666666666667,20.5,20.1,20.46,19.06666666666669,5.2,16.89,5.133333333333329,3.9333333333333296,1,17.836666666666677,179.1,2
380,21.075,20.5,20.1,20.7933333333333,19.0,4.86666666666667,16.89,5.1,3.9,1,17.81166666666666,254.1,2
